Scan Time,Employee ID,Result,Reader,Operator

2017-05-24 07:01:02,10004,Denied,1495634411-421-3014,0
2017-05-24 11:31:14,44830,Denied,1495634411-421-3014,0
2017-05-24 11:38:55,44830,Denied,1495634411-421-3014,0
2017-05-24 11:42:41,44830,Denied,1495634411-421-3014,0
2017-06-09 13:06:04,38372,Denied,1497038736-421-8040,0
2017-06-09 13:06:14,38372,Denied,1497038736-421-8040,0
2017-06-09 13:42:09,38372,Denied,1497038736-421-8040,0
2017-06-09 13:42:16,38372,Denied,1497038736-421-8040,0
2017-06-09 14:15:55,38372,Denied,1497038736-421-8040,0
2017-06-09 14:26:55,38372,Denied,1497038736-421-8040,0
2017-06-10 10:49:23,10004,Denied,1497038736-421-8040,0
2017-06-10 10:49:40,10004,Denied,1497038736-421-8040,0
2017-06-10 10:56:18,10004,Denied,1497038736-421-8040,0
2017-06-10 11:31:31,38372,Denied,1497038736-421-8040,0

